date,indicator,warn_type
2008-04-18,macd_wk_hist,BOTTOM
2008-04-21,sma5_10_cross,BOTTOM
2008-05-15,close_x_sma200,BOTTOM
2008-05-19,close_x_sma200,TOP
2008-05-30,close_x_sma200,BOTTOM
2008-06-02,close_x_sma200,TOP
2008-06-05,close_x_sma200,BOTTOM
2008-06-05,rsi14_top_div,TOP
2008-06-06,close_x_sma200,TOP
2008-07-18,sma5_10_cross,BOTTOM
2008-07-31,sma5_10_cross,BOTTOM
2008-08-08,macd_wk_hist,BOTTOM
2008-08-11,close_x_sma200,BOTTOM
2008-08-12,close_x_sma200,TOP
2008-08-14,close_x_sma200,BOTTOM
2008-08-18,close_x_sma200,TOP
2008-09-25,sma5_10_cross,BOTTOM
2008-10-02,rsi14_bot_div,BOTTOM
2008-10-03,rsi14_bot_div,BOTTOM
2008-10-17,sma5_10_cross,BOTTOM
2008-10-22,rsi14_bot_div,BOTTOM
2008-10-23,rsi14_bot_div,BOTTOM
2008-10-24,rsi14_bot_div,BOTTOM
2008-10-27,rsi14_bot_div,BOTTOM
2008-11-12,rsi14_bot_div,BOTTOM
2008-11-17,rsi14_bot_div,BOTTOM
2008-11-19,rsi14_bot_div,BOTTOM
2009-03-05,rsi14_bot_div,BOTTOM
2009-05-04,close_x_sma200,BOTTOM
2009-05-07,close_x_sma200,TOP
2009-05-18,close_x_sma200,BOTTOM
2009-05-21,close_x_sma200,TOP
2009-05-26,close_x_sma200,BOTTOM
2009-05-29,rsi14_top_div,TOP
2009-05-29,wk10_40_cross,BOTTOM
2009-07-15,rsi14_top_div,TOP
2009-07-16,rsi14_top_div,TOP
2009-07-17,rsi14_top_div,TOP
2009-08-21,rsi14_top_div,TOP
2009-08-25,rsi14_top_div,TOP
2009-08-26,rsi14_top_div,TOP
2009-08-27,rsi14_top_div,TOP
2009-08-28,rsi14_top_div,TOP
2009-09-28,sma5_10_cross,TOP
2009-10-14,rsi14_top_div,TOP
2009-10-15,rsi14_top_div,TOP
2009-10-19,rsi14_top_div,TOP
2009-10-26,sma5_10_cross,TOP
2009-10-30,dd52w_cross_6,TOP
2009-11-06,macd_wk_hist,TOP
2009-11-24,sma5_10_cross,TOP
2009-12-14,rsi14_top_div,TOP
2010-01-15,sma5_10_cross,TOP
2010-01-19,rsi14_top_div,TOP
2010-01-21,sma5_10_cross,TOP
2010-01-22,macd_wk_hist,TOP
2010-01-28,dd52w_cross_6,TOP
2010-02-04,dd52w_cross_6,TOP
2010-04-05,rsi14_top_div,TOP
2010-04-30,sma5_10_cross,TOP
2010-05-06,dd52w_cross_6,TOP
2010-05-14,dd52w_cross_6,TOP
2010-05-20,close_x_sma200,TOP
2010-05-21,close_x_sma200,BOTTOM
2010-05-24,close_x_sma200,TOP
2010-05-27,close_x_sma200,BOTTOM
2010-06-01,close_x_sma200,TOP
2010-06-02,close_x_sma200,BOTTOM
2010-06-04,close_x_sma200,TOP
2010-06-07,rsi14_bot_div,BOTTOM
2010-06-08,rsi14_bot_div,BOTTOM
2010-06-09,rsi14_bot_div,BOTTOM
2010-06-11,close_x_sma200,BOTTOM
2010-06-24,close_x_sma200,TOP
2010-07-09,wk10_40_cross,TOP
2010-07-23,close_x_sma200,BOTTOM
2010-07-29,close_x_sma200,TOP
2010-08-02,close_x_sma200,BOTTOM
2010-08-11,close_x_sma200,TOP
2010-09-02,sma5_10_cross,BOTTOM
2010-09-13,close_x_sma200,BOTTOM
2010-09-17,macd_wk_hist,BOTTOM
2010-09-27,dd52w_cross_6,TOP
2010-09-29,dd52w_cross_6,TOP
2010-10-05,rsi14_top_div,TOP
2010-10-08,rsi14_top_div,TOP
2010-10-11,rsi14_top_div,TOP
2010-10-12,rsi14_top_div,TOP
2010-10-15,wk10_40_cross,BOTTOM
2010-11-15,sma5_10_cross,TOP
2010-12-03,rsi14_top_div,TOP
2010-12-06,rsi14_top_div,TOP
2010-12-07,rsi14_top_div,TOP
2010-12-08,rsi14_top_div,TOP
