ym,core_cpi,cpi_yoy
1969-06,38.3,5.80110497237567
1969-07,38.5,5.769230769230771
1969-08,38.7,6.02739726027397
1969-09,38.9,5.9945504087193235
1969-10,39.1,5.962059620596216
1969-11,39.2,5.660377358490565
1969-12,39.4,5.913978494623651
1970-01,39.6,6.166219839142095
1970-02,39.8,5.8510638297872175
1970-03,40.1,6.084656084656093
1970-04,40.4,6.036745406824129
1970-05,40.5,6.299212598425186
1970-06,40.8,6.5274151436031325
1970-07,40.9,6.233766233766236
1970-08,41.1,6.201550387596888
1970-09,41.3,6.169665809768632
1970-10,41.5,6.13810741687979
1970-11,41.8,6.632653061224469
1970-12,42.0,6.598984771573613
1971-01,42.1,6.313131313131315
1971-02,42.2,6.030150753768848
1971-03,42.2,5.2369077306733125
1971-04,42.4,4.950495049504955
1971-05,42.6,5.185185185185182
1971-06,42.8,4.90196078431373
1971-07,42.9,4.88997555012225
1971-08,43.0,4.622871046228716
1971-09,43.0,4.1162227602905554
1971-10,43.1,3.855421686746996
1971-11,43.2,3.349282296650724
1971-12,43.3,3.0952380952380842
1972-01,43.5,3.325415676959609
1972-02,43.6,3.3175355450236976
1972-03,43.6,3.3175355450236976
1972-04,43.8,3.301886792452824
1972-05,43.9,3.0516431924882514
1972-06,44.0,2.8037383177570208
1972-07,44.1,2.7972027972028135
1972-08,44.3,3.023255813953485
1972-09,44.3,3.023255813953485
1972-10,44.4,3.0162412993039345
1972-11,44.4,2.777777777777768
1972-12,44.6,3.002309468822184
1973-01,44.6,2.5287356321839205
1973-02,44.8,2.752293577981635
1973-03,45.0,3.2110091743119185
1973-04,45.1,2.9680365296803846
1973-05,45.3,3.1890660592255093
1973-06,45.4,3.1818181818181746
1973-07,45.5,3.1746031746031633
1973-08,45.7,3.1602708803611934
1973-09,46.0,3.8374717832957206
1973-10,46.3,4.279279279279269
1973-11,46.5,4.729729729729737
1973-12,46.7,4.7085201793722
1974-01,46.9,5.156950672645744
1974-02,47.2,5.35714285714286
1974-03,47.6,5.777777777777771
1974-04,47.9,6.208425720620836
1974-05,48.5,7.064017660044164
1974-06,49.0,7.929515418502198
1974-07,49.5,8.791208791208781
1974-08,50.2,9.84682713347922
1974-09,50.7,10.217391304347823
1974-10,51.2,10.583153347732189
1974-11,51.6,10.967741935483865
1974-12,52.0,11.34903640256959
1975-01,52.3,11.513859275053306
1975-02,52.8,11.864406779661007
1975-03,53.0,11.344537815126055
1975-04,53.3,11.27348643006263
1975-05,53.5,10.309278350515472
1975-06,53.8,9.795918367346923
1975-07,54.0,9.090909090909083
1975-08,54.2,7.968127490039834
1975-09,54.5,7.495069033530566
1975-10,54.8,7.031249999999978
1975-11,55.2,6.976744186046524
1975-12,55.5,6.730769230769229
1976-01,55.9,6.883365200764824
1976-02,56.2,6.439393939393945
1976-03,56.5,6.60377358490567
1976-04,56.7,6.378986866791747
1976-05,57.0,6.542056074766345
1976-06,57.2,6.3197026022304925
1976-07,57.6,6.666666666666665
1976-08,57.9,6.826568265682642
1976-09,58.2,6.788990825688068
1976-10,58.5,6.751824817518259
1976-11,58.7,6.340579710144922
1976-12,58.9,6.12612612612613
1977-01,59.3,6.082289803220031
1977-02,59.7,6.227758007117434
1977-03,60.0,6.194690265486735
1977-04,60.3,6.349206349206349
1977-05,60.6,6.315789473684208
1977-06,61.0,6.643356643356646
1977-07,61.2,6.25
1977-08,61.5,6.217616580310881
1977-09,61.8,6.185567010309279
1977-10,62.0,5.982905982905984
1977-11,62.3,6.132879045996575
1977-12,62.7,6.451612903225823
1978-01,63.1,6.408094435075884
1978-02,63.4,6.1976549413735205
1978-03,63.8,6.333333333333324
1978-04,64.3,6.633499170812596
1978-05,64.7,6.765676567656764
1978-06,65.2,6.8852459016393475
1978-07,65.6,7.189542483660127
1978-08,66.1,7.479674796747959
1978-09,66.7,7.928802588996775
1978-10,67.2,8.387096774193559
1978-11,67.6,8.50722311396468
1978-12,68.0,8.452950558213711
1979-01,68.5,8.557844690966721
1979-02,69.2,9.14826498422714
1979-03,69.8,9.404388714733546
1979-04,70.3,9.331259720062214
1979-05,70.8,9.428129829984533
1979-06,71.3,9.355828220858896
1979-07,71.9,9.60365853658538
1979-08,72.7,9.984871406959162
1979-09,73.3,9.8950524737631
1979-10,74.0,10.119047619047606
1979-11,74.8,10.650887573964507
1979-12,75.7,11.32352941176471
1980-01,76.7,11.970802919708024
1980-02,77.5,11.994219653179194
1980-03,78.6,12.60744985673352
1980-04,79.5,13.086770981507833
1980-05,80.1,13.13559322033897
1980-06,81.0,13.604488078541376
1980-07,80.8,12.37830319888733
1980-08,81.3,11.82943603851443
1980-09,82.1,12.005457025920862
1980-10,83.0,12.162162162162172
1980-11,83.9,12.165775401069535
1980-12,84.9,12.153236459709383
1981-01,85.4,11.342894393741854
1981-02,85.9,10.838709677419356
1981-03,86.4,9.92366412213741
1981-04,87.0,9.433962264150942
1981-05,87.8,9.612983770287142
1981-06,88.6,9.3827160493827
1981-07,89.8,11.138613861386148
1981-08,90.7,11.56211562115621
1981-09,91.8,11.814859926918398
1981-10,92.1,10.963855421686741
1981-11,92.5,10.250297973778299
1981-12,93.0,9.540636042402827
1982-01,93.3,9.250585480093676
1982-02,93.8,9.196740395809066
1982-03,93.9,8.680555555555557
1982-04,94.7,8.850574712643677
1982-05,95.4,8.656036446469262
1982-06,96.1,8.465011286681712
1982-07,96.7,7.683741648106901
1982-08,97.1,7.056229327453134
1982-09,97.2,5.882352941176472
1982-10,97.5,5.863192182410426
1982-11,97.3,5.189189189189181
1982-12,97.2,4.516129032258065
1983-01,97.6,4.608788853161849
1983-02,98.0,4.47761194029852
1983-03,98.2,4.579339723109688
1983-04,98.6,4.118268215417098
1983-05,98.9,3.6687631027253698
1983-06,99.2,3.2258064516129226
1983-07,99.8,3.205791106514999
1983-08,100.1,3.0895983522142068
1983-09,100.5,3.3950617283950546
1983-10,101.0,3.589743589743599
1983-11,101.5,4.316546762589923
1983-12,101.8,4.732510288065828
1984-01,102.5,5.020491803278704
1984-02,102.8,4.8979591836734615
1984-03,103.2,5.0916496945010215
1984-04,103.7,5.1724137931034475
1984-05,104.1,5.257836198179966
1984-06,104.5,5.3427419354838745
1984-07,105.0,5.210420841683372
1984-08,105.4,5.294705294705304
1984-09,105.8,5.273631840796011
1984-10,106.2,5.148514851485153
1984-11,106.4,4.827586206896561
1984-12,106.8,4.911591355599221
1985-01,107.1,4.4878048780487845
1985-02,107.7,4.76653696498055
1985-03,108.1,4.748062015503862
1985-04,108.4,4.532304725168768
1985-05,108.8,4.514889529298749
1985-06,109.1,4.401913875598074
1985-07,109.4,4.190476190476189
1985-08,109.8,4.174573055028463
1985-09,110.0,3.969754253308122
1985-10,110.5,4.048964218455731
1985-11,111.1,4.417293233082686
1985-12,111.4,4.307116104868913
1986-01,111.9,4.481792717086841
1986-02,112.2,4.178272980501396
1986-03,112.5,4.070305272895469
1986-04,112.9,4.151291512915134
1986-05,113.1,3.952205882352944
1986-06,113.4,3.9413382218148607
1986-07,113.8,4.021937842778778
1986-08,114.2,4.007285974499086
1986-09,114.6,4.181818181818175
1986-10,115.0,4.072398190045257
1986-11,115.3,3.7803780378037777
1986-12,115.6,3.7701974865349985
1987-01,115.9,3.574620196604106
1987-02,116.2,3.5650623885918
1987-03,116.6,3.64444444444445
1987-04,117.3,3.8972542072630567
1987-05,117.7,4.0671971706454535
1987-06,117.9,3.9682539682539764
1987-07,118.3,3.9543057996485054
1987-08,118.7,3.9404553415061327
1987-09,119.2,4.013961605584648
1987-10,119.8,4.17391304347825
1987-11,120.1,4.163052905464015
1987-12,120.4,4.152249134948116
1988-01,120.9,4.3140638481449445
1988-02,121.2,4.302925989672968
1988-03,121.7,4.373927958833623
1988-04,122.3,4.262574595055413
1988-05,122.7,4.248088360237889
1988-06,123.2,4.495335029686176
1988-07,123.6,4.480135249366013
1988-08,124.0,4.465037910699232
1988-09,124.7,4.614093959731536
1988-10,125.2,4.507512520868118
1988-11,125.6,4.579517069109085
1988-12,126.0,4.6511627906976605
1989-01,126.5,4.631927212572373
1989-02,126.9,4.702970297029707
1989-03,127.4,4.683648315529987
1989-04,127.8,4.497138184791494
1989-05,128.3,4.563977180114098
1989-06,128.8,4.545454545454541
1989-07,129.2,4.53074433656957
1989-08,129.5,4.435483870967749
1989-09,129.9,4.170008019246185
1989-10,130.6,4.313099041533541
1989-11,131.1,4.378980891719753
1989-12,131.6,4.444444444444451
1990-01,132.1,4.426877470355728
1990-02,132.7,4.570527974783278
1990-03,133.5,4.788069073783352
1990-04,134.0,4.851330203442883
1990-05,134.4,4.754481683554168
1990-06,135.1,4.891304347826075
1990-07,135.8,5.10835913312695
1990-08,136.6,5.4826254826254806
1990-09,137.1,5.54272517321015
1990-10,137.6,5.359877488514542
1990-11,138.0,5.263157894736836
1990-12,138.6,5.319148936170204
1991-01,139.5,5.601816805450421
1991-02,140.2,5.6518462697814575
1991-03,140.5,5.243445692883886
1991-04,140.9,5.149253731343295
1991-05,141.3,5.133928571428581
1991-06,141.8,4.959289415247969
1991-07,142.3,4.786450662739328
1991-08,142.9,4.612005856515378
1991-09,143.4,4.595185995623652
1991-10,143.7,4.433139534883712
1991-11,144.2,4.492753623188395
1991-12,144.7,4.401154401154406
1992-01,145.1,4.014336917562722
1992-02,145.4,3.708987161198296
1992-03,145.9,3.843416370106767
1992-04,146.3,3.8325053229240735
1992-05,146.8,3.8924274593064467
1992-06,147.1,3.7376586741889817
1992-07,147.6,3.7245256500351154
1992-08,147.9,3.4989503149055246
1992-09,148.1,3.2775453277545274
1992-10,148.8,3.549060542797511
1992-11,149.2,3.4674063800277377
1992-12,149.6,3.386316516931598
1993-01,150.1,3.4458993797381154
1993-02,150.6,3.576341127922955
1993-03,150.8,3.358464701850594
1993-04,151.4,3.4859876965140035
1993-05,151.8,3.4059945504087086
1993-06,152.1,3.3990482664853827
1993-07,152.3,3.1842818428184483
1993-08,152.8,3.313049357674114
1993-09,152.9,3.241053342336264
1993-10,153.4,3.0913978494623517
1993-11,153.9,3.1501340482573914
1993-12,154.3,3.141711229946531
1994-01,154.5,2.931379080612939
1994-02,154.8,2.788844621513964
1994-03,155.3,2.984084880636595
1994-04,155.5,2.7080581241743618
1994-05,155.9,2.7009222661396493
1994-06,156.4,2.827087442472065
1994-07,156.7,2.8890347997373444
1994-08,157.1,2.814136125654443
1994-09,157.5,3.00850228907783
1994-10,157.8,2.8683181225554133
1994-11,158.2,2.7940220922676895
1994-12,158.3,2.5923525599481634
1995-01,159.0,2.9126213592232997
1995-02,159.4,2.9715762273901714
1995-03,159.9,2.962009014810052
1995-04,160.4,3.1511254019292556
1995-05,160.7,3.078896728672209
1995-06,161.1,3.0051150895140655
1995-07,161.4,2.999361837906833
1995-08,161.8,2.991725015913449
1995-09,162.2,2.984126984126978
1995-10,162.7,3.1051964512040398
1995-11,163.0,3.034134007585343
1995-12,163.1,3.032217308907126
1996-01,163.7,2.955974842767284
1996-02,164.0,2.8858218318695172
1996-03,164.4,2.814258911819878
1996-04,164.6,2.6184538653366562
1996-05,165.0,2.675793403858129
1996-06,165.4,2.669149596523912
1996-07,165.7,2.664188351920682
1996-08,166.0,2.595797280593315
1996-09,166.5,2.6510480887792953
1996-10,166.8,2.5199754148740094
1996-11,167.2,2.5766871165644023
1996-12,167.4,2.636419374616805
1997-01,167.8,2.504581551618834
1997-02,168.1,2.499999999999991
1997-03,168.4,2.4330900243308973
1997-04,168.9,2.6123936816524918
1997-05,169.2,2.5454545454545396
1997-06,169.4,2.41837968561065
1997-07,169.7,2.4140012070005934
1997-08,169.8,2.2891566265060392
1997-09,170.2,2.2222222222222143
1997-10,170.6,2.278177458033559
1997-11,170.8,2.1531100478469067
1997-12,171.2,2.270011947431283
1998-01,171.6,2.264600715137055
1998-02,171.9,2.2605591909577782
1998-03,172.2,2.25653206650831
1998-04,172.5,2.131438721136769
1998-05,172.9,2.1867612293144267
1998-06,173.2,2.2432113341204207
1998-07,173.5,2.2392457277548683
1998-08,174.0,2.473498233215543
1998-09,174.2,2.3501762632197387
1998-10,174.4,2.2274325908558046
1998-11,174.8,2.3419203747072626
1998-12,175.4,2.453271028037385
1999-01,175.6,2.331002331002341
1999-02,175.6,2.1524141942990127
1999-03,175.7,2.0325203252032464
1999-04,176.3,2.2028985507246412
1999-05,176.5,2.0821283979178595
1999-06,176.6,1.9630484988452768
1999-07,177.1,2.074927953890482
1999-08,177.3,1.8965517241379404
1999-09,177.8,2.066590126291623
1999-10,178.1,2.1215596330275144
1999-11,178.4,2.0594965675057253
1999-12,178.7,1.8814139110604255
2000-01,179.3,2.1070615034168627
2000-02,179.4,2.1640091116173155
2000-03,180.0,2.4473534433693933
2000-04,180.3,2.2688598979013097
2000-05,180.7,2.3796033994334165
2000-06,181.1,2.5481313703284325
2000-07,181.5,2.4844720496894457
2000-08,181.9,2.5944726452340694
2000-09,182.3,2.53093363329584
2000-10,182.6,2.5266704098820814
2000-11,183.1,2.6345291479820565
2000-12,183.3,2.5741466144376224
2001-01,183.9,2.5655326268823275
2001-02,184.4,2.7870680044593144
2001-03,184.7,2.6111111111110974
2001-04,185.1,2.66222961730449
2001-05,185.3,2.54565578306587
2001-06,186.0,2.705687465488693
2001-07,186.4,2.6997245179063434
2001-08,186.7,2.638812534359536
2001-09,187.1,2.6330224904004274
2001-10,187.4,2.6286966046002336
2001-11,188.1,2.730748225013646
2001-12,188.4,2.782324058919805
2002-01,188.7,2.610114192495905
2002-02,189.1,2.5488069414316694
2002-03,189.2,2.4363833243096877
2002-04,189.7,2.485143165856285
2002-05,190.0,2.5364274150026844
2002-06,190.2,2.2580645161290214
2002-07,190.5,2.1995708154506355
2002-08,191.1,2.3567220139260936
2002-09,191.3,2.2447888829502993
2002-10,191.5,2.187833511205972
2002-11,191.9,2.020202020202033
2002-12,192.1,1.9639065817409707
2003-01,192.4,1.9607843137255054
2003-02,192.5,1.7979904812268632
2003-03,192.5,1.744186046511631
2003-04,192.5,1.4760147601476037
2003-05,192.9,1.5263157894736867
2003-06,193.0,1.4721345951629994
2003-07,193.4,1.522309711286085
2003-08,193.6,1.3082155939298845
2003-09,193.7,1.2545739675901668
2003-10,194.0,1.305483028720622
2003-11,194.0,1.094319958311618
2003-12,194.2,1.0931806350858997
2004-01,194.6,1.1434511434511352
2004-02,194.9,1.2467532467532516
2004-03,195.5,1.558441558441559
2004-04,195.9,1.7662337662337713
2004-05,196.2,1.710730948678063
2004-06,196.6,1.865284974093262
2004-07,196.8,1.7580144777662898
2004-08,196.9,1.7045454545454586
2004-09,197.5,1.961796592669085
2004-10,197.9,2.0103092783505083
2004-11,198.3,2.216494845360839
2004-12,198.6,2.2657054582904346
2005-01,199.0,2.261048304213764
2005-02,199.4,2.308876346844535
2005-03,200.1,2.35294117647058
2005-04,200.2,2.1949974476773715
2005-05,200.5,2.1916411824668858
2005-06,200.6,2.0345879959308144
2005-07,200.9,2.083333333333326
2005-08,201.1,2.1330624682579957
2005-09,201.3,1.9240506329113893
2005-10,202.0,2.071753410813537
2005-11,202.5,2.1180030257186067
2005-12,202.8,2.114803625377659
2006-01,203.2,2.1105527638190846
2006-02,203.6,2.106318956870612
2006-03,204.3,2.0989505247376306
2006-04,204.8,2.29770229770232
2006-05,205.4,2.44389027431422
2006-06,205.9,2.6420737786640114
2006-07,206.3,2.6879044300647026
2006-08,206.8,2.8344107409249197
2006-09,207.2,2.930948832588176
2006-10,207.6,2.7722772277227747
2006-11,207.8,2.6172839506172885
2006-12,208.1,2.6134122287968298
2007-01,208.6,2.657480314960625
2007-02,209.135,2.71856581532417
2007-03,209.418,2.5051395007342103
2007-04,209.747,2.4155273437499902
2007-05,210.058,2.267770204479058
2007-06,210.392,2.181641573579407
2007-07,210.773,2.1682016480853106
2007-08,211.119,2.0884912959380886
2007-09,211.554,2.101351351351366
2007-10,212.077,2.1565510597302495
2007-11,212.66,2.3387872954764077
2007-12,213.168,2.4353676117251366
2008-01,213.771,2.4789069990412305
2008-02,213.939,2.29708083295479
2008-03,214.42,2.388524386633417
2008-04,214.56,2.294669292051843
2008-05,214.936,2.3222157689781087
2008-06,215.424,2.3917259211376996
2008-07,215.965,2.463313612274831
2008-08,216.393,2.4981171756213394
2008-09,216.713,2.4386208722122937
2008-10,216.788,2.2213629955157854
2008-11,216.947,2.015893915169764
2008-12,216.925,1.7624596562335837
2009-01,217.346,1.6723503187990874
2009-02,217.792,1.800980653363804
2009-03,218.253,1.7876130957932945
2009-04,218.706,1.93232662192393
2009-05,218.904,1.8461309413034588
2009-06,219.112,1.7119726678550107
2009-07,219.263,1.5270992984974363
2009-08,219.496,1.4339650543224725
2009-09,219.92,1.4798373886199645
2009-10,220.501,1.7127331771131127
2009-11,220.666,1.714243571010421
2009-12,220.881,1.8236717759594345
2010-01,220.633,1.5123351706495702
2010-02,220.731,1.3494526888039982
2010-03,220.783,1.1592051426555505
2010-04,220.822,0.9675088932173947
2010-05,220.962,0.9401381427474931
2010-06,221.194,0.9501989849939774
2010-07,221.363,0.9577539302116689
2010-08,221.509,0.9171009950067255
2010-09,221.711,0.8143870498363182
2010-10,221.83,0.6027183550187942
2010-11,222.149,0.672056411046551
2010-12,222.343,0.6618948664665503
2011-01,222.803,0.9835337415527112
2011-02,223.213,1.124445592146106
2011-03,223.454,1.2097851736773357
2011-04,223.727,1.3155392125784537
2011-05,224.175,1.4540961794335727
2011-06,224.697,1.5836776766096738
2011-07,225.218,1.741483445742964
2011-08,225.862,1.9651571719433658
2011-09,226.118,1.9877227562006272
2011-10,226.506,2.1079204796465634
2011-11,226.899,2.138204538395394
2011-12,227.405,2.276662633858506
2012-01,227.877,2.2773481506083826
2012-02,228.034,2.1598204405657295
2012-03,228.478,2.2483374654291177
2012-04,228.905,2.314427851801515
2012-05,229.224,2.252258280361308
2012-06,229.623,2.192285611289857
2012-07,229.97,2.109955687378462
2012-08,230.233,1.9352524993137443
2012-09,230.659,2.0082434834909124
2012-10,231.024,1.9946491483669337
2012-11,231.33,1.9528512686261434
2012-12,231.725,1.8996943778720743
2013-01,232.229,1.9098022178631435
2013-02,232.569,1.9887385214485631
2013-03,232.794,1.8890221377988237
2013-04,232.832,1.715558856294086
2013-05,232.996,1.6455519491850756
2013-06,233.35,1.6230952474272975
2013-07,233.88,1.7002217680567089
2013-08,234.336,1.782107690904433
2013-09,234.7,1.7519368418314363
2013-10,234.921,1.686837731144819
2013-11,235.359,1.7416677473738762
2013-12,235.759,1.7408566188369834
2014-01,235.983,1.6165078435509628
2014-02,236.172,1.5492176515356837
